Cruise	station	Type	yyyy-mm-dd	Longitude [degrees East]	Latitude [degrees North]	Bot. Depth (m)	QF	Depth (m)	QF	Temperature	QF	Salinity	QF
2016-WPO	N20-8	C	42168.8125	125	20	5203	1	5	1	29.7522	1	33.9406	1
2016-WPO	E130-3	C	42175.8125	130	18	4945	1	5	1	30.2537	1	34.2324	1
2016-WPO	E130-8	C	42182.8125	130	13	4895	1	5	1	29.6764	1	34.0072	1
2016-WPO	E130-14	C	42189.8125	130	7	4734	1	5	1	29.7423	1	33.9911	1
2016-WPO	E130-18	C	42196.8125	130.001	2.999	4587	1	5	1	29.7883	1	34.3125	1
Cruise	station	Type	yyyy-mm-dd	Longitude [degrees East]	Latitude [degrees North]	Bot. Depth (m)	QF	Depth (m)	QF	Temperature	QF	Salinity	QF
2018-WPO	E130-5	C	42168.8125	130	20	5740	1	5	1	28.1678	1	34.2153	1
2018-WPO	E130-7	C	42175.8125	130	18	5692	1	5	1	27.9154	1	34.4266	1
2018-WPO	E130-9	C	42182.8125	130	16	5205	1	5	1	28.729	1	34.2632	1
2018-WPO	E130-13	C	42189.8125	130	12	5679	1	5	1	29.4053	1	34.1578	1
2018-WPO	E130-18	C	42196.8125	130	8	5529	1	5	1	29.5557	1	33.7735	1
